timestep,demand_el,pv,demand_th
621,312436.5631519,0,0.2211595052
622,299832.0243534,0,0.1839379346
623,294408.9803811,0,0.1269002312
624,280230.6049915,0,0.1213861267
625,268466.061089,0,0.1048325081
626,259272.2707973,0,0.1082048559
627,253124.6158432,0,0.1144633908
628,246820.0387656,0,0.1331492885
629,246395.425961,0,0.1809885268
630,255561.5241133,0,0.2419712475
631,282607.5136261,0,0.2673762106
632,314388.858982,0,0.2509991663
633,322608.809037,0,0.2251413414
634,323490.3421423,0.072897,0.2047777303
635,326227.2485895,0.14703,0.1874311497
636,330044.1484747,0.18543,0.175142791
637,328982.6164631,0.18826,0.1686075841
638,328904.1554014,0.15363,0.1667689952
639,327039.5513462,0.10141,0.169038519
640,325631.8675917,0.046302,0.1761431296
641,326231.8639461,0.0039459,0.1913187811
642,345944.0518658,0,0.2077690049
643,354570.1532991,0,0.2179250599
644,348214.8072993,0,0.2086945344
645,330944.1430063,0,0.1891408181
646,317624.2239391,0,0.1518015834
647,310908.8801266,0,0.1089034333
648,295590.5116636,0,0.1026650613
649,280198.2974955,0,0.0966308533
650,270916.8154289,0,0.0997393628
651,262798.4032184,0,0.1055082562
652,257873.8177559,0,0.1227322478
653,256018.4444139,0,0.1668287453
654,262789.1725053,0,0.2230404343
655,287338.2541126,0,0.2464578199
656,316521.1537183,0,0.2313620466
657,325502.6376077,0.0019241,0.2075272292
658,327371.8570194,0.11252,0.1887567815
659,331793.3686156,0.19273,0.1727673245
660,337557.9489742,0.20284,0.1614403552
661,337917.9467868,0.15859,0.1554164355
662,335121.0407041,0.16008,0.15372169
663,330242.6088073,0.13537,0.1558136558
664,326236.4793027,0.085105,0.1623624316
665,320254.9771852,0.0099926,0.1763508039
666,330699.529108,0,0.1915140313
667,337613.333253,0,0.2008755193
668,329434.9214072,0,0.1923671513
669,313018.09808,0,0.1743432356
670,297935.1128022,0,0.1399252656
671,290199.7751873,0,0.1003832865
672,272901.4187549,0,0.0946329785
673,258524.5830326,0,0.1048325081
674,246621.578433,0,0.1082048559
675,239453.9296765,0,0.1144633908
676,237649.3252568,0,0.1331492885
677,238147.7837666,0,0.1809885268
678,247295.4204926,0,0.2419712475
679,270746.0472357,0,0.2673762106
680,300496.6356998,0,0.2509991663
681,310922.7261963,0.0049051,0.2251413414
682,314481.1661134,0.092725,0.2047777303
683,316267.3091068,0.17906,0.1874311497
684,317827.2996282,0.22384,0.175142791
685,315981.1569994,0.22723,0.1686075841
686,310031.9623779,0.18632,0.1667689952
687,304110.4598958,0.12466,0.169038519
688,300575.0967615,0.05909,0.1761431296
689,298595.1087921,0.0068946,0.1913187811
690,314610.3960974,0,0.2077690049
691,319678.0576137,0,0.2179250599
692,312228.8721062,0,0.2086945344
693,293707.4461821,0,0.1891408181
694,282515.2064947,0,0.1518015834
695,279155.2269101,0,0.1089034333
696,266393.7659881,0,0.1026650613
697,253327.6915324,0,0.131751677
698,245020.0497025,0,0.1345304574
699,239398.5453976,0,0.1407003534
700,237404.7113584,0,0.1560542619
701,236527.7936097,0,0.1950236241
702,231109.364994,0,0.2683685216
703,226207.8563144,0,0.3175430881
704,236970.8678407,0,0.2973212951
705,252021.5456225,0.0082015,0.2745671369
706,268156.8321987,0.15177,0.2556454262
707,273732.1829379,0.24388,0.2358092329
708,277678.3128071,0.24305,0.2244171627
709,276275.2444091,0.17315,0.2184039591
710,267667.6044021,0.19504,0.2185321065
711,261224.5666273,0.182,0.2212623474
712,256586.1332723,0.12705,0.2279769307
713,254712.298504,0.018871,0.2398723857
714,270630.6633214,0,0.2561303069
715,283124.4335622,0,0.2665390796
716,275038.3288478,0,0.2544109037
717,258833.811923,0,0.2355172345
718,248850.7956574,0,0.1958792303
719,252815.3869529,0,0.1351386253
720,243464.6745377,0,0.1292665438
721,232355.5112685,0,0.1237197599
722,222820.1845904,0,0.1263291388
723,215915.6111585,0,0.1321229022
724,210321.798993,0,0.1465407975
725,205674.1349249,0,0.1831344883
726,201303.3922511,0,0.2520080944
727,194214.2045562,0,0.2981848543
728,197094.1870573,0,0.2791958332
729,208194.1196133,0.0075359,0.2578288263
730,223018.644923,0.090774,0.2400606312
731,233509.3504115,0.13736,0.2214337026
732,245703.1224752,0.12269,0.210736122
733,245015.4343459,0.065891,0.2050894987
734,237104.7131813,0.053691,0.2052098338
735,229290.9145046,0.035276,0.2077736323
736,226992.4669317,0.015884,0.2140788775
